t (s),V (mV)
0,19.3739
0.967,19.3548
1.901,19.3496
2.867,19.3299
3.856,19.3142
4.856,19.3008
5.856,19.283
6.856,19.2636
7.856,19.2448
8.856,19.2255
9.855,19.2058
10.856,19.1885
11.856,19.1706
12.855,19.1515
13.855,19.1355
14.856,19.118
15.856,19.1018
16.856,19.0861
17.856,19.068
18.856,19.0506
19.856,19.0341
20.856,19.0187
21.855,19.0008
22.856,18.9845
23.856,18.9673
24.856,18.9495
25.855,18.9348
26.855,18.9174
27.856,18.9035
28.856,18.8843
29.855,18.8687
30.856,18.8531
31.856,18.8364
32.856,18.821
33.856,18.8045
34.856,18.789
35.856,18.7719
36.856,18.755
37.855,18.7388
38.856,18.7231
39.856,18.7085
40.856,18.6933
41.856,18.6778
42.856,18.6639
43.856,18.6499
44.856,18.6337
45.856,18.6189
46.856,18.6037
47.856,18.5878
48.856,18.5733
49.856,18.5598
50.856,18.5431
51.856,18.527
52.856,18.5128
53.855,18.4964
54.856,18.4823
55.856,18.4671
56.856,18.4528
57.856,18.4379
58.856,18.4233
59.856,18.4094
60.855,18.3948
61.856,18.3824
62.856,18.3662
63.856,18.3536
64.856,18.3377
65.856,18.3241
66.856,18.3077
67.856,18.2944
68.856,18.2785
69.856,18.2641
70.856,18.2487
71.856,18.2353
72.856,18.22
73.856,18.2058
74.856,18.1912
75.856,18.1762
76.856,18.1619
77.856,18.1481
78.856,18.135
79.856,18.1214
80.856,18.106
81.856,18.092
82.856,18.0777
83.856,18.0629
84.856,18.0492
85.856,18.0356
86.856,18.0214
87.856,18.0067
88.856,17.992
89.855,17.977
90.856,17.9621
91.856,17.9472
92.856,17.9318
93.856,17.9172
94.856,17.9019
95.856,17.8882
96.856,17.8735
97.856,17.8605
98.856,17.846
99.856,17.8318
100.856,17.8175
101.856,17.8037
102.856,17.7897
103.856,17.7768
104.856,17.7627
105.856,17.7502
106.856,17.737
107.856,17.7244
108.856,17.7108
109.856,17.6975
110.856,17.6853
111.856,17.6711
112.856,17.6612
113.856,17.648
114.856,17.6365
115.856,17.6236
116.856,17.6111
117.856,17.5983
118.856,17.5868
119.856,17.5735
